,,,Total,,,,,Até cinco minutos,,,,,De seis minutos até quinze minutos,,,,,Mais de quinze minutos até meia hora,,,,,Mais de meia hora até uma hora,,,,,Mais de uma hora até duas horas,,,,,Mais de duas horas até quatro horas,,,,,Mais de quatro horas,,,,
,,,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo
,,Indígena,1236,453,185,495,103,230,53,36,120,21,449,183,33,189,44,232,69,48,103,12,150,62,32,43,13,87,50,4,21,12,17,5,6,5,1,39,29,4,6,-
,65 anos ou mais,Total,4790,2871,575,733,610,959,468,74,212,204,1866,1198,196,227,244,1193,700,164,216,113,434,296,72,43,23,165,94,36,34,-,67,44,8,-,14,27,27,-,-,-
,,Branca,1946,1031,247,328,340,463,212,11,97,143,743,438,97,83,125,447,246,61,97,43,139,89,30,17,3,89,29,26,34,-,27,13,-,-,14,-,-,-,-,-
,,Preta,516,393,19,59,46,64,32,7,22,3,208,162,6,13,27,94,69,6,11,9,109,89,-,12,8,10,10,-,-,-,-,-,-,-,-,23,23,-,-,-
,,Amarela,65,10,-,-,54,20,-,-,-,20,22,-,-,-,22,22,10,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,2237,1429,310,329,170,411,224,56,93,38,869,593,93,114,70,629,373,98,108,50,185,117,42,14,12,66,55,11,-,-,40,32,8,-,-,4,4,-,-,-
,,Indígena,26,8,-,18,-,1,1,-,-,-,23,5,-,18,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rio Branco,Total,Total,177651,38271,26289,65759,47331,20404,3590,2996,7638,6181,55633,9378,7708,20708,17839,63445,13851,9041,23693,16860,24156,6746,3954,9128,4327,10294,3340,1940,3401,1612,1122,539,238,208,137,690,252,92,237,109
,,Branca,40657,6488,4779,14732,14657,5119,705,539,1878,1997,13183,1726,1507,4471,5479,14508,2213,1518,5489,5288,4942,1229,671,1842,1199,2111,391,420,790,510,297,96,63,71,67,142,46,7,60,30
,,Preta,19628,5709,3176,6733,4010,2017,461,370,767,420,5414,1214,886,1948,1365,7374,2157,1075,2577,1565,2814,977,499,924,414,1505,687,273,346,199,155,61,35,40,19,66,16,5,26,18
