UF,Ano,Taxa_Abandono_Media,Taxa_Abandono_EF,Taxa_Abandono_EM,Taxa_Reprovacao_Media,Taxa_Reprovacao_EF,Taxa_Reprovacao_EM,IDHM,Taxa_Desemprego,Renda_Per_Capita,Indice_Gini_x,Taxa_Gravidez_Adolescente_x,PIB_Total_MilReais_x,Indice_Gini_y,Taxa_Gravidez_Adolescente_y,PIB_Total_MilReais_y
Paraíba,2020,2.1,2.5,1.7,0.45,0.5,0.4,0.714,15.7,861.0,0.512,15.6,70292034.0,0.512,15.6,70292034.0
Pernambuco,2020,0.8500000000000001,1.3,0.4,0.35,0.4,0.3,0.739,19.4,882.0,0.536,16.09,193307317.0,0.536,16.09,193307317.0
Alagoas,2020,0.8500000000000001,1.1,0.6,0.3,0.3,0.3,0.694,20.7,768.0,0.51,20.21,63202349.0,0.51,20.21,63202349.0
Sergipe,2020,0.8,1.1,0.5,0.35,0.4,0.3,0.722,18.3,994.0,0.524,16.66,45409657.0,0.524,16.66,45409657.0
Bahia,2020,1.9,2.1,1.7,0.75,0.7,0.8,0.724,20.6,947.0,0.537,15.94,305320813.0,0.537,15.94,305320813.0
Minas Gerais,2020,2.5,1.9,3.1,0.4,0.4,0.4,0.789,12.5,1290.0,0.46,11.43,682786116.0,0.46,11.43,682786116.0
Espírito Santo,2020,0.55,0.5,0.6,0.2,0.2,0.2,0.792,13.5,1323.0,0.484,12.54,138445922.0,0.484,12.54,138445922.0
Rio de Janeiro,2020,0.8999999999999999,1.2,0.6,1.35,1.0,1.7,0.785,19.6,1664.0,0.548,13.03,753823711.0,0.548,13.03,753823711.0
São Paulo,2020,0.2,0.2,0.2,0.65,0.5,0.8,0.823,14.8,1787.0,0.522,9.7,2377638980.0,0.522,9.7,2377638980.0
Paraná,2020,0.8,0.5,1.1,1.9,1.6,2.2,0.787,10.1,1479.0,0.462,11.27,487930594.0,0.462,11.27,487930594.0
Santa Catarina,2020,0.3,0.2,0.4,3.7,2.4,5.0,0.803,5.4,1601.0,0.412,9.49,349275016.0,0.412,9.49,349275016.0
Rio Grande do Sul,2020,0.5,0.3,0.7,0.55,0.5,0.6,0.78,8.6,1714.0,0.476,10.37,470941846.0,0.476,10.37,470941846.0
Mato Grosso do Sul,2020,0.3,0.3,0.3,5.0,4.0,6.0,0.76,9.6,1424.0,0.47,15.21,122627726.0,0.47,15.21,122627726.0
Mato Grosso,2020,0.25,0.2,0.3,0.15,0.2,0.1,0.756,10.7,1345.0,0.462,14.5,178649564.0,0.462,14.5,178649564.0
Goiás,2020,0.7,0.7,0.7,1.25,1.2,1.3,0.758,12.8,1236.0,0.445,12.87,224126112.0,0.445,12.87,224126112.0
Distrito Federal,2020,0.2,0.2,0.2,3.8,2.6,5.0,0.829,14.5,2384.0,0.548,9.47,265847334.0,0.548,9.47,265847334.0
Rondônia,2021,1.55,1.1,2.0,2.2,1.9,2.5,0.7,6.8,1016.0,0.459,15.58,58170096.0,0.459,15.58,58170096.0
Acre,2021,2.9000000000000004,2.6,3.2,2.5,2.5,2.5,0.71,13.2,885.0,0.539,22.7,21374440.0,0.539,22.7,21374440.0
Amazonas,2021,3.0,2.5,3.5,1.35,1.5,1.2,0.7,13.1,812.0,0.541,20.61,131531038.0,0.541,20.61,131531038.0
Roraima,2021,2.25,1.5,3.0,3.05,2.4,3.7,0.699,9.2,1030.0,0.596,17.96,18202579.0,0.596,17.96,18202579.0
Pará,2021,3.9,3.1,4.7,3.75,3.8,3.7,0.69,10.9,830.0,0.529,21.24,262904979.0,0.529,21.24,262904979.0
Amapá,2021,2.8,2.1,3.5,8.2,8.1,8.3,0.688,17.4,846.0,0.53,19.81,20099851.0,0.53,19.81,20099851.0
Tocantins,2021,1.0,0.6,1.4,1.5,1.5,1.5,0.731,9.6,1058.0,0.514,17.62,51780764.0,0.514,17.62,51780764.0
Maranhão,2021,3.25,2.5,4.0,1.9,2.0,1.8,0.676,13.6,641.0,0.53,20.73,124980720.0,0.53,20.73,124980720.0
Piauí,2021,1.5499999999999998,1.4,1.7,1.05,1.2,0.9,0.69,11.9,851.0,0.516,17.23,64028303.0,0.516,17.23,64028303.0
Ceará,2021,0.3,0.3,0.3,0.2,0.2,0.2,0.734,11.1,902.0,0.549,14.0,194884802.0,0.549,14.0,194884802.0
Rio Grande do Norte,2021,4.45,3.7,5.2,5.35,6.1,4.6,0.728,12.8,1114.0,0.587,13.77,80180733.0,0.587,13.77,80180733.0
Paraíba,2021,1.9,1.8,2.0,1.25,1.4,1.1,0.698,13.0,875.0,0.562,15.86,77470331.0,0.562,15.86,77470331.0
Pernambuco,2021,0.6499999999999999,0.6,0.7,2.1500000000000004,2.2,2.1,0.719,17.2,841.0,0.579,16.31,220813522.0,0.579,16.31,220813522.0
Alagoas,2021,1.35,1.1,1.6,1.35,1.2,1.5,0.684,14.6,759.0,0.526,19.67,76265620.0,0.526,19.67,76265620.0
Sergipe,2021,1.65,1.4,1.9,0.8,0.9,0.7,0.702,14.7,925.0,0.568,15.8,51861397.0,0.568,15.8,51861397.0
Bahia,2021,3.8,3.3,4.3,3.45,3.7,3.2,0.691,17.3,848.0,0.546,15.55,352617852.0,0.546,15.55,352617852.0
Minas Gerais,2021,1.15,0.8,1.5,1.6,1.3,1.9,0.774,9.5,1312.0,0.487,10.92,857593214.0,0.487,10.92,857593214.0
Espírito Santo,2021,0.9,0.7,1.1,2.6,2.5,2.7,0.771,9.9,1285.0,0.509,12.18,186336505.0,0.509,12.18,186336505.0
Rio de Janeiro,2021,0.9,0.9,0.9,2.25,2.4,2.1,0.762,14.2,1690.0,0.565,12.21,949300770.0,0.565,12.21,949300770.0
São Paulo,2021,0.8999999999999999,0.6,1.2,0.8500000000000001,0.8,0.9,0.806,11.2,1823.0,0.533,9.27,2719751231.0,0.533,9.27,2719751231.0
Paraná,2021,0.4,0.2,0.6,1.8,2.1,1.5,0.769,7.0,1536.0,0.475,11.05,549973062.0,0.475,11.05,549973062.0
Santa Catarina,2021,0.8500000000000001,0.4,1.3,4.699999999999999,3.8,5.6,0.792,4.4,1692.0,0.424,9.03,428570889.0,0.424,9.03,428570889.0
Rio Grande do Sul,2021,2.15,1.5,2.8,1.6,1.8,1.4,0.771,8.1,1774.0,0.468,9.57,581283677.0,0.468,9.57,581283677.0
Mato Grosso do Sul,2021,0.5,0.4,0.6,6.0,5.7,6.3,0.742,6.5,1440.0,0.496,14.95,142203766.0,0.496,14.95,142203766.0
Mato Grosso,2021,0.75,0.4,1.1,2.55,1.0,4.1,0.736,5.9,1326.0,0.461,14.55,233390203.0,0.461,14.55,233390203.0
Goiás,2021,0.6499999999999999,0.6,0.7,1.5,1.7,1.3,0.737,8.8,1275.0,0.467,12.8,269627874.0,0.467,12.8,269627874.0
Distrito Federal,2021,0.1,0.1,0.1,5.25,3.9,6.6,0.814,12.1,2488.0,0.566,8.68,286943782.0,0.566,8.68,286943782.0
Rondônia,2022,1.75,1.1,2.4,3.45,3.9,3.0,0.7,3.1,1323.0,0.447,14.18,66795454.0,0.447,14.18,66795454.0
Acre,2022,3.8,2.7,4.9,4.15,4.5,3.8,0.71,9.8,1028.0,0.523,21.66,23676136.0,0.523,21.66,23676136.0
